epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6708226203918457,9.999999747378752e-05,0.9410943984985352,0.4902363717556,1.2928111553192139
1,0.7213367819786072,9.999999747378752e-05,0.8283098340034485,0.7019526958465576,0.8678438663482666
2,0.7471722364425659,9.999999747378752e-05,0.7730550765991211,0.720966100692749,0.8675051927566528
3,0.7614395618438721,9.999999747378752e-05,0.750507652759552,0.7702980637550354,0.7158624529838562
4,0.7732647657394409,9.999999747378752e-05,0.7146069407463074,0.6664953827857971,0.9136236310005188
5,0.784961462020874,9.999999747378752e-05,0.6895422339439392,0.7641315460205078,0.7392386198043823
6,0.7836760878562927,9.999999747378752e-05,0.6733995676040649,0.7240493297576904,0.8345962762832642
7,0.8140102624893188,2.9999999242136255e-05,0.6079319715499878,0.7682425379753113,0.7223145365715027
8,0.8267351984977722,2.9999999242136255e-05,0.5803825855255127,0.739465594291687,0.8084376454353333
9,0.827506422996521,2.9999999242136255e-05,0.5639641880989075,0.7949640154838562,0.6907331943511963
10,0.8361182808876038,2.9999999242136255e-05,0.5554168820381165,0.8098663687705994,0.639133095741272
11,0.8377891778945923,2.9999999242136255e-05,0.5481731295585632,0.761562168598175,0.7730715870857239
12,0.8332905173301697,2.9999999242136255e-05,0.543251633644104,0.7528263330459595,0.8164713978767395
13,0.8392030596733093,2.9999999242136255e-05,0.5243344306945801,0.7250770926475525,0.854069173336029
14,0.8541131019592285,8.999999408842996e-06,0.49735069274902344,0.8150051236152649,0.6241798400878906
15,0.8634961247444153,8.999999408842996e-06,0.4894767105579376,0.7872558832168579,0.6898024082183838
16,0.8591259717941284,8.999999408842996e-06,0.4840345084667206,0.7852004170417786,0.7344567179679871
17,0.861054003238678,8.999999408842996e-06,0.4793047606945038,0.7764645218849182,0.7663057446479797
18,0.871079683303833,2.699999868127634e-06,0.4696171283721924,0.7862281799316406,0.6990838050842285
19,0.8705655336380005,2.699999868127634e-06,0.460463285446167,0.7846865653991699,0.723747968673706
20,0.8705655336380005,2.699999868127634e-06,0.45436182618141174,0.7929085493087769,0.7071473598480225
21,0.8744215965270996,8.099999604382901e-07,0.45129960775375366,0.7852004170417786,0.7091996669769287
