epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.48316195607185364,0.0010000000474974513,1.3072848320007324,0.605344295501709,1.0426007509231567
1,0.5502570867538452,0.0010000000474974513,1.112244963645935,0.5765672922134399,1.0550451278686523
2,0.5803341865539551,0.0010000000474974513,1.0602823495864868,0.6315519213676453,0.9651731848716736
3,0.6061696410179138,0.0010000000474974513,1.026065468788147,0.6166495084762573,0.95927494764328
4,0.5998714566230774,0.0010000000474974513,1.0180832147598267,0.6223021745681763,0.9890868067741394
5,0.6194087266921997,0.0010000000474974513,0.99856036901474,0.6402877569198608,0.9445738792419434
6,0.6167095303535461,0.0010000000474974513,0.9887959361076355,0.6284686326980591,0.9847033023834229
7,0.6253213286399841,0.0010000000474974513,0.973194420337677,0.6202466487884521,0.9699480533599854
8,0.6325193047523499,0.0010000000474974513,0.9753956198692322,0.6305241584777832,0.9807100892066956
9,0.6372750401496887,0.0010000000474974513,0.9601721167564392,0.6243576407432556,0.98545902967453
10,0.6475578546524048,0.0005000000237487257,0.9485271573066711,0.6526207327842712,0.9347023963928223
11,0.6533418893814087,0.0005000000237487257,0.9323680996894836,0.6500514149665833,0.9369714260101318
12,0.6561696529388428,0.0005000000237487257,0.9236364960670471,0.6315519213676453,0.9604631066322327
13,0.6602827906608582,0.0005000000237487257,0.9081020951271057,0.6526207327842712,0.9286796450614929
14,0.6634961366653442,0.0005000000237487257,0.9078312516212463,0.6582733988761902,0.9301298260688782
15,0.6611825227737427,0.0005000000237487257,0.9084797501564026,0.6438848972320557,0.9573706388473511
16,0.6634961366653442,0.0005000000237487257,0.8914945125579834,0.6382322907447815,0.9581862688064575
17,0.6623393297195435,0.0005000000237487257,0.900732159614563,0.6274409294128418,0.9747434854507446
18,0.671465277671814,0.0002500000118743628,0.8886128067970276,0.6541624069213867,0.9281741380691528
19,0.6733933091163635,0.0002500000118743628,0.8756544589996338,0.642343282699585,0.9476133584976196
0,0.6320051550865173,9.999999747378752e-05,0.9660257697105408,0.6788283586502075,0.8761324882507324
1,0.6910025477409363,9.999999747378752e-05,0.8586241006851196,0.7189105749130249,0.8706600069999695
2,0.7282776236534119,9.999999747378752e-05,0.7840045690536499,0.6572456359863281,0.9917168617248535
3,0.7439588904380798,9.999999747378752e-05,0.7421737909317017,0.7189105749130249,0.8083752393722534
4,0.758226215839386,9.999999747378752e-05,0.699977457523346,0.7317574620246887,0.7783134579658508
5,0.7726221084594727,9.999999747378752e-05,0.6705811619758606,0.7230215668678284,0.8661139011383057
6,0.7800770998001099,9.999999747378752e-05,0.6540653109550476,0.701438844203949,0.9666114449501038
7,0.7884318828582764,9.999999747378752e-05,0.6353991627693176,0.7435765862464905,0.8195443153381348
8,0.8010282516479492,9.999999747378752e-05,0.6037775278091431,0.7040082216262817,0.9375523924827576
9,0.817480742931366,4.999999873689376e-05,0.5604788661003113,0.7471736669540405,0.8014141917228699
10,0.819280207157135,4.999999873689376e-05,0.5524201989173889,0.7430626749992371,0.8489817380905151
11,0.8280205726623535,4.999999873689376e-05,0.5223948955535889,0.751284658908844,0.8303556442260742
12,0.8291773796081543,4.999999873689376e-05,0.5259736776351929,0.7358684539794922,0.888297975063324
13,0.8384318947792053,2.499999936844688e-05,0.4941907823085785,0.7661870718002319,0.7789615988731384
14,0.846401035785675,2.499999936844688e-05,0.48101702332496643,0.7723535299301147,0.7444854974746704
15,0.8496143817901611,2.499999936844688e-05,0.46679794788360596,0.7651593089103699,0.7568662762641907
16,0.8482005000114441,2.499999936844688e-05,0.4751562178134918,0.7661870718002319,0.771401584148407
17,0.8500000238418579,2.499999936844688e-05,0.46811777353286743,0.7610483169555664,0.7856988310813904
18,0.8548843264579773,2.499999936844688e-05,0.4574023187160492,0.7595067024230957,0.7902405261993408
19,0.8642673492431641,1.249999968422344e-05,0.43341124057769775,0.761562168598175,0.8052537441253662
20,0.8668380379676819,1.249999968422344e-05,0.43132704496383667,0.7368962168693542,0.8766654133796692
21,0.8663238883018494,1.249999968422344e-05,0.4232524633407593,0.7219938039779663,0.9209818243980408
22,0.8651670813560486,1.249999968422344e-05,0.4361622929573059,0.719938337802887,0.9253747463226318
