epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.705398440361023,4.999999873689376e-05,0.8490899801254272,0.7009249925613403,0.8415424227714539
1,0.7308483123779297,4.999999873689376e-05,0.8009194731712341,0.6783145070075989,0.8821524381637573
2,0.7419022917747498,4.999999873689376e-05,0.7623229026794434,0.7281603217124939,0.7854193449020386
3,0.7443444728851318,4.999999873689376e-05,0.7521791458129883,0.7214799523353577,0.7922127842903137
4,0.7587403655052185,4.999999873689376e-05,0.7242423892021179,0.7142857313156128,0.7938922643661499
5,0.7706940770149231,4.999999873689376e-05,0.7089157700538635,0.7245631814002991,0.7775550484657288
6,0.7773779034614563,4.999999873689376e-05,0.6838792562484741,0.6998972296714783,0.8539383411407471
7,0.7778920531272888,4.999999873689376e-05,0.6839749217033386,0.7435765862464905,0.7515087127685547
8,0.7844473123550415,4.999999873689376e-05,0.657875657081604,0.7261048555374146,0.7854291200637817
9,0.7875321507453918,4.999999873689376e-05,0.6580060720443726,0.7348406910896301,0.7805817723274231
10,0.793958842754364,4.999999873689376e-05,0.6430892944335938,0.7276464700698853,0.7720918655395508
11,0.8020565509796143,4.999999873689376e-05,0.6134849786758423,0.7317574620246887,0.7880265116691589
12,0.8137531876564026,1.4999999621068127e-05,0.5956602096557617,0.7410072088241577,0.7593662738800049
13,0.818894624710083,1.4999999621068127e-05,0.584414541721344,0.7435765862464905,0.7605795860290527
14,0.8221079707145691,1.4999999621068127e-05,0.5687477588653564,0.7451182007789612,0.7722426652908325
15,0.8217223882675171,1.4999999621068127e-05,0.5728060603141785,0.7440904378890991,0.7663114070892334
16,0.825706958770752,4.499999704421498e-06,0.5633466243743896,0.7430626749992371,0.7737583518028259
17,0.8230077028274536,4.499999704421498e-06,0.5619787573814392,0.7363823056221008,0.7866447567939758
18,0.8268637657165527,4.499999704421498e-06,0.5638970732688904,0.7435765862464905,0.7790713906288147
19,0.82930588722229,4.499999704421498e-06,0.5537906885147095,0.7466598153114319,0.7779566645622253
20,0.8249357342720032,1.349999934063817e-06,0.5626638531684875,0.7415210604667664,0.7859269976615906
21,0.8338046073913574,1.349999934063817e-06,0.5440756678581238,0.739465594291687,0.7871807813644409
22,0.8281490802764893,1.349999934063817e-06,0.5583238005638123,0.7415210604667664,0.7828285098075867
23,0.8267351984977722,1.349999934063817e-06,0.562438428401947,0.7420349717140198,0.7820864319801331
24,0.826478123664856,4.0499998021914507e-07,0.5494508743286133,0.7404932975769043,0.7850287556648254
25,0.8266066908836365,4.0499998021914507e-07,0.552959144115448,0.7404932975769043,0.7850399613380432
26,0.8361182808876038,4.0499998021914507e-07,0.5547341704368591,0.7420349717140198,0.7797189354896545
27,0.8326478004455566,4.0499998021914507e-07,0.5485036969184875,0.7425488233566284,0.7829138040542603
28,0.8314909934997559,1.2149999406574352e-07,0.5461999773979187,0.7425488233566284,0.7859070301055908
29,0.8326478004455566,1.2149999406574352e-07,0.5543393492698669,0.7435765862464905,0.7807444334030151
